DATE,IMPCH
1986-01-01,56.77243
1986-02-01,34.02135
1986-03-01,37.13311
1986-04-01,-6.49488
1986-05-01,8.09895
1986-06-01,7.74305
1986-07-01,30.72009
1986-08-01,39.41629
1986-09-01,5.51302
1986-10-01,3.37224
1986-11-01,48.39695
1986-12-01,27.47145
1987-01-01,13.29706
1987-02-01,50.10621
1987-03-01,20.08462
1987-04-01,76.78369
1987-05-01,61.34796
1987-06-01,42.74687
1987-07-01,24.38916
1987-08-01,37.58914
1987-09-01,32.94630
1987-10-01,42.50941
1987-11-01,0.78189
1987-12-01,12.74635
1988-01-01,25.39378
1988-02-01,15.08933
1988-03-01,5.67876
1988-04-01,17.85180
1988-05-01,19.50651
1988-06-01,34.40239
1988-07-01,36.00000
1988-08-01,34.40896
1988-09-01,44.34134
1988-10-01,46.85684
1988-11-01,63.08697
1988-12-01,85.74347
1989-01-01,20.84865
1989-02-01,22.67138
1989-03-01,30.86880
1989-04-01,31.99855
1989-05-01,52.47927
1989-06-01,41.74528
1989-07-01,52.66544
1989-08-01,59.17403
1989-09-01,48.65751
1989-10-01,60.71942
1989-11-01,41.93791
1989-12-01,16.29186
1990-01-01,50.34859
1990-02-01,24.52074
1990-03-01,39.51746
1990-04-01,36.77419
1990-05-01,25.11995
1990-06-01,28.92238
1990-07-01,28.36501
1990-08-01,22.58518
1990-09-01,21.43645
1990-10-01,23.25425
1990-11-01,20.64738
1990-12-01,18.36048
1991-01-01,11.42399
1991-02-01,26.15214
1991-03-01,4.65091
1991-04-01,10.81895
1991-05-01,17.66510
1991-06-01,15.81385
1991-07-01,21.48744
1991-08-01,19.36759
1991-09-01,35.20704
1991-10-01,35.36711
1991-11-01,43.10988
1991-12-01,41.46688
1992-01-01,44.71852
1992-02-01,35.09612
1992-03-01,47.98317
1992-04-01,51.92900
1992-05-01,34.26275
1992-06-01,42.85152
1992-07-01,38.08736
1992-08-01,39.55351
1992-09-01,42.56572
1992-10-01,22.89394
1992-11-01,18.30813
1992-12-01,27.22822
1993-01-01,14.37833
1993-02-01,9.96044
1993-03-01,44.48606
1993-04-01,32.70744
1993-05-01,28.17843
1993-06-01,26.38583
1993-07-01,19.06302
1993-08-01,23.35630
1993-09-01,20.94548
1993-10-01,19.25484
1993-11-01,25.19862
1993-12-01,14.92847
1994-01-01,26.30737
1994-02-01,34.19244
1994-03-01,4.79071
1994-04-01,11.91663
1994-05-01,25.36296
1994-06-01,25.74613
1994-07-01,22.28372
1994-08-01,29.24022
1994-09-01,23.83263
1994-10-01,25.12814
1994-11-01,21.88923
1994-12-01,21.32984
1995-01-01,24.88147
1995-02-01,20.09843
1995-03-01,33.32112
1995-04-01,26.35656
1995-05-01,22.68882
1995-06-01,14.36202
1995-07-01,18.28057
1995-08-01,15.33679
1995-09-01,10.87703
1995-10-01,14.94928
