DATE,IMPCH
1986-01-01,166.4
1986-02-01,95.6
1986-03-01,108.8
1986-04-01,-18.4
1986-05-01,23.9
1986-06-01,27.0
1986-07-01,105.8
1986-08-01,122.9
1986-09-01,21.6
1986-10-01,13.0
1986-11-01,158.5
1986-12-01,84.2
1987-01-01,61.1
1987-02-01,188.7
1987-03-01,80.7
1987-04-01,203.4
1987-05-01,195.7
1987-06-01,160.6
1987-07-01,109.8
1987-08-01,163.4
1987-09-01,136.2
1987-10-01,169.4
1987-11-01,3.8
1987-12-01,49.8
1988-01-01,132.2
1988-02-01,85.3
1988-03-01,27.4
1988-04-01,83.6
1988-05-01,100.4
1988-06-01,184.5
1988-07-01,201.6
1988-08-01,205.8
1988-09-01,243.7
1988-10-01,266.1
1988-11-01,309.0
1988-12-01,377.7
1989-01-01,136.1
1989-02-01,147.5
1989-03-01,157.4
1989-04-01,176.6
1989-05-01,322.8
1989-06-01,300.9
1989-07-01,401.1
1989-08-01,475.7
1989-09-01,386.0
1989-10-01,506.4
1989-11-01,335.0
1989-12-01,133.3
1990-01-01,397.2
1990-02-01,195.7
1990-03-01,263.7
1990-04-01,267.9
1990-05-01,235.6
1990-06-01,295.5
1990-07-01,329.8
1990-08-01,289.0
1990-09-01,252.8
1990-10-01,311.7
1990-11-01,234.1
1990-12-01,174.7
1991-01-01,135.5
1991-02-01,259.9
1991-03-01,43.3
1991-04-01,107.8
1991-05-01,207.3
1991-06-01,208.3
1991-07-01,320.7
1991-08-01,303.8
1991-09-01,504.2
1991-10-01,584.3
1991-11-01,589.7
1991-12-01,467.0
1992-01-01,591.0
1992-02-01,440.0
1992-03-01,467.5
1992-04-01,573.4
1992-05-01,473.1
1992-06-01,653.7
1992-07-01,690.6
1992-08-01,740.6
1992-09-01,824.2
1992-10-01,512.0
1992-11-01,358.4
1992-12-01,433.8
1993-01-01,275.0
1993-02-01,168.7
1993-03-01,641.4
1993-04-01,548.7
1993-05-01,522.4
1993-06-01,575.0
1993-07-01,477.3
1993-08-01,610.3
1993-09-01,578.2
1993-10-01,529.2
1993-11-01,583.6
1993-12-01,302.6
1994-01-01,575.5
1994-02-01,636.8
1994-03-01,99.8
1994-04-01,265.3
1994-05-01,602.7
1994-06-01,709.1
1994-07-01,664.3
1994-08-01,942.5
1994-09-01,795.7
1994-10-01,823.6
1994-11-01,634.7
1994-12-01,496.9
1995-01-01,687.5
1995-02-01,502.3
1995-03-01,727.4
1995-04-01,656.7
1995-05-01,675.9
1995-06-01,497.4
1995-07-01,666.4
1995-08-01,638.9
1995-09-01,449.7
1995-10-01,613.1
1995-11-01,333.7
1995-12-01,307.4
1996-01-01,207.1
1996-02-01,538.1
1996-03-01,-46.7
1996-04-01,99.6
1996-05-01,299.4
1996-06-01,150.5
1996-07-01,504.9
1996-08-01,691.0
1996-09-01,896.6
1996-10-01,1098.6
1996-11-01,717.4
1996-12-01,813.1
1997-01-01,1009.9
1997-02-01,722.8
1997-03-01,764.9
1997-04-01,1197.1
