DATE,IMPGS
1948-01-01,27.99574
1948-04-01,22.34548
1948-07-01,36.44787
1948-10-01,21.28909
1949-01-01,-0.20781
1949-04-01,-6.69589
1949-07-01,-14.53711
1949-10-01,-10.19360
1950-01-01,-1.07247
1950-04-01,9.23751
1950-07-01,45.84825
1950-10-01,50.51694
1951-01-01,56.46774
1951-04-01,48.38205
1951-07-01,9.79820
1951-10-01,2.22872
1952-01-01,0.61886
1952-04-01,-3.61049
1952-07-01,6.56883
1952-10-01,16.81201
1953-01-01,5.59567
1953-04-01,12.41969
1953-07-01,6.93115
1953-10-01,-5.10953
1954-01-01,-6.42608
1954-04-01,-1.59908
1954-07-01,-6.15073
1954-10-01,-0.30309
1955-01-01,9.39783
1955-04-01,5.64137
1955-07-01,13.83298
1955-10-01,17.13454
1956-01-01,17.04496
1956-04-01,10.97269
1956-07-01,10.51604
1956-10-01,2.38555
1957-01-01,6.20872
1957-04-01,6.83603
1957-07-01,2.64374
1957-10-01,5.89504
1958-01-01,-3.20896
1958-04-01,-0.96201
1958-07-01,-0.11638
1958-10-01,6.05582
1959-01-01,9.97687
1959-04-01,12.29888
1959-07-01,15.85187
1959-10-01,8.07280
1960-01-01,8.84277
1960-04-01,4.04099
1960-07-01,0.04810
1960-10-01,-3.38606
1961-01-01,-6.99931
1961-04-01,-6.63398
1961-07-01,1.95376
1961-10-01,9.78751
1962-01-01,12.26337
1962-04-01,13.63076
1962-07-01,7.65241
1962-10-01,7.03812
1963-01-01,3.58230
1963-04-01,4.04276
1963-07-01,6.34383
1963-10-01,4.75147
1964-01-01,7.11932
1964-04-01,7.09154
1964-07-01,6.45971
1964-10-01,9.41937
1965-01-01,5.48224
1965-04-01,14.25738
1965-07-01,12.66664
1965-10-01,15.92283
1966-01-01,22.95744
1966-04-01,14.39755
1966-07-01,19.17265
1966-10-01,14.37787
1967-01-01,12.69506
1967-04-01,7.67108
1967-07-01,3.59435
1967-10-01,7.27034
1968-01-01,12.59637
1968-04-01,16.39159
1968-07-01,21.99378
1968-10-01,15.64871
1969-01-01,-1.34012
1969-04-01,15.97455
1969-07-01,8.55100
1969-10-01,10.28856
1970-01-01,22.17377
1970-04-01,4.80910
1970-07-01,7.76473
1970-10-01,8.96360
1971-01-01,9.59321
1971-04-01,14.65836
1971-07-01,16.03906
1971-10-01,6.99800
1972-01-01,23.05502
1972-04-01,12.81756
1972-07-01,13.14560
1972-10-01,27.85160
1973-01-01,18.27138
1973-04-01,25.28953
1973-07-01,23.01120
1973-10-01,24.59780
1974-01-01,29.23500
1974-04-01,44.61260
1974-07-01,46.60025
1974-10-01,38.39402
1975-01-01,13.21035
1975-04-01,-10.92656
1975-07-01,-8.64830
1975-10-01,-5.72822
1976-01-01,11.25008
1976-04-01,27.65500
1976-07-01,27.68670
1976-10-01,26.37303
1977-01-01,26.98686
1977-04-01,24.42019
1977-07-01,17.36051
1977-10-01,15.18994
1978-01-01,15.21767
1978-04-01,14.09403
1978-07-01,17.58190
1978-10-01,18.37015
1979-01-01,13.05871
1979-04-01,16.40347
1979-07-01,19.64271
1979-10-01,26.44140
1980-01-01,32.40815
1980-04-01,20.36348
1980-07-01,8.50971
1980-10-01,6.67960
1981-01-01,5.06554
1981-04-01,10.03520
1981-07-01,10.99491
1981-10-01,6.76638
1982-01-01,-3.20524
1982-04-01,-7.09647
1982-07-01,-0.19942
1982-10-01,-7.69585
1983-01-01,-4.59710
1983-04-01,6.29657
1983-07-01,11.02521
1983-10-01,21.40364
1984-01-01,31.40616
1984-04-01,27.85101
1984-07-01,19.28179
1984-10-01,16.31049
1985-01-01,2.40478
1985-04-01,2.96924
1985-07-01,1.11746
1985-10-01,5.40591
1986-01-01,10.59883
1986-04-01,6.07280
1986-07-01,10.92890
1986-10-01,6.78133
1987-01-01,8.70856
1987-04-01,13.14151
1987-07-01,12.59947
1987-10-01,14.69887
1988-01-01,13.61336
1988-04-01,8.71148
1988-07-01,6.86831
1988-10-01,6.84693
1989-01-01,8.00422
1989-04-01,9.02604
1989-07-01,5.71187
1989-10-01,4.15069
1990-01-01,6.92873
1990-04-01,3.25334
1990-07-01,7.81535
1990-10-01,8.21363
1991-01-01,-1.02909
1991-04-01,-0.13631
1991-07-01,-1.33835
1991-10-01,-1.39228
1992-01-01,4.11177
1992-04-01,7.33482
1992-07-01,9.03761
1992-10-01,7.87535
1993-01-01,8.28199
1993-04-01,8.70019
1993-07-01,6.10722
1993-10-01,8.20770
1994-01-01,8.93981
1994-04-01,11.34736
1994-07-01,15.91934
1994-10-01,15.50368
1995-01-01,16.41738
1995-04-01,13.89024
1995-07-01,8.64671
1995-10-01,5.65237
1996-01-01,5.61913
1996-04-01,4.88890
1996-07-01,7.49733
1996-10-01,9.17498
1997-01-01,9.65887
1997-04-01,9.12096
1997-07-01,9.97487
1997-10-01,9.34134
1998-01-01,6.91415
