DATE,IMPGS
1948-01-01,2.105
1948-04-01,1.833
1948-07-01,2.793
1948-10-01,1.777
1949-01-01,-0.020
1949-04-01,-0.672
1949-07-01,-1.520
1949-10-01,-1.032
1950-01-01,-0.103
1950-04-01,0.865
1950-07-01,4.097
1950-10-01,4.593
1951-01-01,5.365
1951-04-01,4.949
1951-07-01,1.277
1951-10-01,0.305
1952-01-01,0.092
1952-04-01,-0.548
1952-07-01,0.94
1952-10-01,2.352
1953-01-01,0.837
1953-04-01,1.817
1953-07-01,1.057
1953-10-01,-0.835
1954-01-01,-1.015
1954-04-01,-0.263
1954-07-01,-1.003
1954-10-01,-0.047
1955-01-01,1.389
1955-04-01,0.913
1955-07-01,2.117
1955-10-01,2.649
1956-01-01,2.756
1956-04-01,1.876
1956-07-01,1.832
1956-10-01,0.432
1957-01-01,1.175
1957-04-01,1.297
1957-07-01,0.509
1957-10-01,1.093
1958-01-01,-0.645
1958-04-01,-0.195
1958-07-01,-0.023
1958-10-01,1.189
1959-01-01,1.941
1959-04-01,2.469
1959-07-01,3.129
1959-10-01,1.681
1960-01-01,1.892
1960-04-01,0.911
1960-07-01,0.011
1960-10-01,-0.762
1961-01-01,-1.630
1961-04-01,-1.556
1961-07-01,0.447
1961-10-01,2.128
1962-01-01,2.656
1962-04-01,2.985
1962-07-01,1.785
1962-10-01,1.68
1963-01-01,0.871
1963-04-01,1.006
1963-07-01,1.593
1963-10-01,1.214
1964-01-01,1.793
1964-04-01,1.836
1964-07-01,1.725
1964-10-01,2.521
1965-01-01,1.479
1965-04-01,3.953
1965-07-01,3.601
1965-10-01,4.663
1966-01-01,6.533
1966-04-01,4.561
1966-07-01,6.141
1966-10-01,4.881
1967-01-01,4.442
1967-04-01,2.78
1967-07-01,1.372
1967-10-01,2.823
1968-01-01,4.967
1968-04-01,6.396
1968-07-01,8.697
1968-10-01,6.518
1969-01-01,-0.595
1969-04-01,7.255
1969-07-01,4.125
1969-10-01,4.956
1970-01-01,9.713
1970-04-01,2.533
1970-07-01,4.066
1970-10-01,4.762
1971-01-01,5.134
1971-04-01,8.092
1971-07-01,9.051
1971-10-01,4.051
1972-01-01,13.522
1972-04-01,8.113
1972-07-01,8.608
1972-10-01,17.251
1973-01-01,13.187
1973-04-01,18.059
1973-07-01,17.049
1973-10-01,19.479
1974-01-01,24.955
1974-04-01,39.914
1974-07-01,42.471
